"Tree_ID","Address","Tree_Species","Species_Desc","Common_Name","Age_Desc","Height","Spread","Trunk","Actual_Trunk_cm","Condition","Lat","Long"
27092,"Clonard Court, Balbriggan","ACSA","Acer saccharinum","Silver Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",18,"Good",53.6063254525,-6.1864238469
29144,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",10,"Fair - Poor",53.4474654446,-6.2476129128
29160,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","11cm to 20cm",11,"Good",53.4476953324,-6.2482576292
29400,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",10,"Good",53.4456056962,-6.246236098
246560,"Lanesborough Grove, Saint Margaret's","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"3 to 6 metres","11cm to 20cm",13,"Fair to Good",53.4043088465,-6.2916460813
18012,"Charlestown Drive, Saint Margaret's","TICO","Tilia cordata","Small-Leafed Lime","Young","10 metres","3 to 6 metres","11cm to 20cm",14,"Fair to Good",53.4043533643,-6.2986000232
18016,"Charlestown Drive, Saint Margaret's","TICO","Tilia cordata","Small-Leafed Lime","Young","10 metres","3 to 6 metres","11cm to 20cm",13,"Good",53.4043496768,-6.2984863394
3660,"Turvey Avenue, Donabate","SOARI","Sorbus aria","Whitebeam","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",19,"Fair to Good",53.4875027988,-6.1590712591
1496,"Turvey Drive, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","6 to 9 metres","11cm to 20cm",13,"Fair",53.4867992172,-6.1560670219
41804,"Auburn Grove, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",29,"Good",53.4451492759,-6.1751403403
1024,"Turvey Grove, Donabate","ACPL","Acer platanoides","Norway Maple","","10 metres","3 to 6 metres","21cm to 30cm",27,"Good",53.48700715,-6.1555951477
1028,"Turvey Grove, Donabate","ACPL","Acer platanoides","Norway Maple","","10 metres","3 to 6 metres","21cm to 30cm",27,"Good",53.4869720855,-6.155390256
3676,"Turvey Avenue, Donabate","SOIN","Sorbus intermedia","Swedish Whitebeam","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",20,"Fair",53.4872723823,-6.1585807238
4024,"Glen Ellan Avenue, Swords","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","3 to 6 metres","11cm to 20cm",20,"Fair to Good",53.4674099313,-6.2282858061
4276,"Glen Ellan Park, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","21cm to 30cm",21,"Fair to Good",53.4681795869,-6.2278921465
4280,"Glen Ellan Park, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","6 to 9 metres","11cm to 20cm",18,"Fair to Good",53.4680856285,-6.2278400401
104852,"Broadway Grove, Blanchardstown","AAAA","Suitable location","","",NA,"","",0,"",53.3869839702,-6.3899837851
18128,"Milesian Avenue, Swords","TICO","Tilia cordata","Small-Leafed Lime","",NA,"","11cm to 20cm",18,"",53.4519248424,-6.2056012255
48,"Churchfield Close, Skerries","PRUSP","Prunus spp.","Cherry","Mature","10 metres","6 to 9 metres","21cm to 30cm",30,"Good",53.5731052802,-6.1061975328
6052,"Glen Ellan Gardens, Swords","TICO","Tilia cordata","Small-Leafed Lime","Young","10 metres","3 to 6 metres","11cm to 20cm",17,"Good",53.4679330252,-6.2361184305
26880,"Tara Cove, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",16,"Good",53.6066652343,-6.1900264316
28408,"Ridgewood Close, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",10,"Good",53.4480269559,-6.2479662541
32408,"Greenlawns, Skerries","STMP","Stump","Stump","",NA,"","31cm to 40cm",31,"",53.5740651093,-6.1138282238
27232,"Castleview Row, Swords","ACCA","Acer campestre","Field Maple","Young",NA,"Up to 3 metres","1cm - 10cm",8,"Good",53.4707397967,-6.2365554603
29164,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",10,"Good",53.4477365971,-6.2483752973
29260,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","11cm to 20cm",11,"Good",53.4463887131,-6.2476480748
